Name,Country,City,Address,Rating,Reviews,Site,Link
Basic-Fit Valencia Primer de maig,Spain,Valencia,"Av. del Primer de Maig, 20",4.8,253,http://www.basic-fit.com/es-es,https://www.google.com/maps/place/Basic-Fit+Valencia+Primer+de+maig/data=!4m7!3m6!1s0xd604f479bc59465:0x9987455922394004!8m2!3d39.4490602!4d-0.3877268!16s%2Fg%2F11tck6l6dj!19sChIJZZTFm0dPYA0RBEA5IllFh5k?authuser=0&hl=en&rclk=1
Basic-Fit La Petxina,Spain,Valencia,"Pg. de la Petxina, 46",4.8,416,https://www.basic-fit.com/es-es/gimnasio/basic-fit-valencia-passeig-de-la-petxina--cc65f126566e47c09c05e368c242fd34.html,https://www.google.com/maps/place/Basic-Fit+La+Petxina/data=!4m7!3m6!1s0xd604f440e598fc9:0xd61f3728a0209af1!8m2!3d39.4745778!4d-0.3965411!16s%2Fg%2F11s4dhfsry!19sChIJyY9ZDkRPYA0R8ZogoCg3H9Y?authuser=0&hl=en&rclk=1
Basic-Fit Sevilla Avenida Juan Pablo II,Spain,Seville,"Av. Juan Pablo II, 1",4.9,23,https://www.google.com/aclk?sa=l&ai=DChcSEwilpMP-qMn9AhVDsNUKHb6UD80YABAAGgJ3cw&sig=AOD64_0t3xc6GFV7ceRt8LETG4S74hXqbQ&adurl&ctype=99,https://www.google.com/maps/place/Basic-Fit+Sevilla+Avenida+Juan+Pablo+II/data=!4m7!3m6!1s0xd126d99a066ef37:0x6c40c2b6410517f4!8m2!3d37.3682765!4d-5.9998895!16s%2Fg%2F11sf775t9t!19sChIJN-9moJltEg0R9BcFQbbCQGw?authuser=0&hl=en&rclk=1
Basic-Fit Sevilla Luis Montoto,Spain,Seville,"C. Luis Montoto, 132",4.4,337,https://www.basic-fit.com/es-es/gimnasio/basic-fit-sevilla-luis-montoto-88280633f3834211a6fb584988ab9ef9.html?utm_medium=yext&utm_source=gmb,https://www.google.com/maps/place/Basic-Fit+Sevilla+Luis+Montoto/data=!4m7!3m6!1s0xd126f99628e7e7b:0x84799af20d3a0be2!8m2!3d37.387259!4d-5.969991!16s%2Fg%2F11k_4y15fp!19sChIJe36OYplvEg0R4gs6DfKaeYQ?authuser=0&hl=en&rclk=1
Basic-Fit Sevilla Calle Tarifa,Spain,Seville,"C. Tarifa, 8",4.0,30,https://www.basic-fit.com/nl-es/sportschool/basic-fit-sevilla-calle-tarifa-939ae450c73d489384368728b66ab84d.html?utm_medium=yext&utm_source=gmb,https://www.google.com/maps/place/Basic-Fit+Sevilla+Calle+Tarifa/data=!4m7!3m6!1s0xd126d6b8c01d9d9:0x108c084a623c7cf3!8m2!3d37.3932239!4d-5.9951929!16s%2Fg%2F11tmr9xfwl!19sChIJ2dkBjGttEg0R83w8YkoIjBA?authuser=0&hl=en&rclk=1
Basic-Fit Sevilla Calle Pagés del Corro,Spain,Seville,"C. Pagés del Corro, 142",3.8,6,https://www.basic-fit.com/es-es/gimnasio/basic-fit-sevilla-calle-pag%C3%A9s-del-corro-ecf1c1f14de94021bb4d4d2995e9e4a0.html?utm_medium=yext&utm_source=gmb,https://www.google.com/maps/place/Basic-Fit+Sevilla+Calle+Pag%C3%A9s+del+Corro/data=!4m7!3m6!1s0xd126d85053fd1a3:0xefe245533722fd70!8m2!3d37.3819203!4d-6.0014628!16s%2Fg%2F11trsdfwby!19sChIJo9E_BYVtEg0RcP0iN1NF4u8?authuser=0&hl=en&rclk=1
Basic-Fit Sevilla CC Vega del Rey,Spain,Seville,"C. la Pañoleta, 4",4.3,196,https://www.basic-fit.com/es-es/gimnasio/basic-fit-sevilla-cc-vega-del-rey-3739e28fbe334c4b916465c9f243345c.html?utm_medium=yext&utm_source=gmb,https://www.google.com/maps/place/Basic-Fit+Sevilla+CC+Vega+del+Rey/data=!4m7!3m6!1s0xd126d2376bd269b:0xa6cd04e517b316f4!8m2!3d37.3886853!4d-6.0311402!16s%2Fg%2F11q263xchf!19sChIJmya9diNtEg0R9BazF-UEzaY?authuser=0&hl=en&rclk=1
Basic-Fit Sevilla San Juan De Aznalfarache CC Cavaleri,Spain,Seville,San Juan de Aznalfarache s/n,4.2,29,https://www.basic-fit.com/es-es/gimnasio/basic-fit-sevilla-san-juan-de-aznalfarache-cc-cavaleri-a3406cf920e5445ba7682b2ffd0ed078.html?utm_medium=yext&utm_source=gmb,https://www.google.com/maps/place/Basic-Fit+Sevilla+San+Juan+De+Aznalfarache+CC+Cavaleri/data=!4m7!3m6!1s0xd126ddb28ede8cf:0x6029b759093f34f1!8m2!3d37.3631184!4d-6.0441076!16s%2Fg%2F11p0w61z7c!19sChIJz-jtKNttEg0R8TQ_CVm3KWA?authuser=0&hl=en&rclk=1
Basic-Fit Zaragoza César Augusto,Spain,Zaragoza,"Av. de César Augusto, 17-19",4.8,236,https://www.google.com/aclk?sa=l&ai=DChcSEwjYpryAqcn9AhVEgNUKHQtwCyIYABAHGgJ3cw&sig=AOD64_336ettoHzaDVlHjxEAcBbR8w2ZWw&adurl&ctype=99,https://www.google.com/maps/place/Basic-Fit+Zaragoza+C%C3%A9sar+Augusto/data=!4m7!3m6!1s0xd5915e78f2a6b93:0xcf35bdd9c3c410c!8m2!3d41.6520618!4d-0.8855407!16s%2Fg%2F11rmrcz0h6!19sChIJk2sqj-cVWQ0RDEE8nN1b8ww?authuser=0&hl=en&rclk=1
Basic-Fit Zaragoza Colegiata Bolea,Spain,Zaragoza,"C. de la Colegiata de Bolea, 3",4.6,199,https://www.basic-fit.com/es-es/gimnasio/basic-fit-zaragoza-colegiata-bolea-6356646b23fa4b28a8f05d8f012f1a73.html?utm_medium=yext&utm_source=gmb,https://www.google.com/maps/place/Basic-Fit+Zaragoza+Colegiata+Bolea/data=!4m7!3m6!1s0xd59154140745825:0x78e60cfe211c0ebb!8m2!3d41.6418553!4d-0.8644069!16s%2Fg%2F11sp7jx9xy!19sChIJJVh0QEEVWQ0Ruw4cIf4M5ng?authuser=0&hl=en&rclk=1
Basic-Fit Zaragoza Pablo Gargallo,Spain,Zaragoza,"Av. de Pablo Gargallo, 108",4.6,206,https://www.basic-fit.com/es-es/gimnasio/basic-fit-zaragoza-pablo-gargallo-9367003730d94b0aa2f9341060e353e0.html?utm_medium=yext&utm_source=gmb,https://www.google.com/maps/place/Basic-Fit+Zaragoza+Pablo+Gargallo/data=!4m7!3m6!1s0xd5915b0ff966cbd:0x132791a039a66249!8m2!3d41.6617741!4d-0.9027899!16s%2Fg%2F11snyv97tf!19sChIJvWyW_7AVWQ0RSWKmOaCRJxM?authuser=0&hl=en&rclk=1
Basic-Fit Zaragoza Palacio Ducal,Spain,Zaragoza,"C. del Palacio Ducal, 4",4.6,247,https://www.basic-fit.com/es-es/gimnasio/basic-fit-zaragoza-palacio-ducal-cfb6aab8bf3245089ec4fe8fca2e0555.html?utm_medium=yext&utm_source=gmb,https://www.google.com/maps/place/Basic-Fit+Zaragoza+Palacio+Ducal/data=!4m7!3m6!1s0xd59158e250ceb1f:0xddf5a0d85011eed7!8m2!3d41.6184024!4d-0.8745069!16s%2Fg%2F11p5x5gc63!19sChIJH-sMJY4VWQ0R1-4RUNig9d0?authuser=0&hl=en&rclk=1
